State,Population_Density,Median_Income,Education_Rate,Region
AL,97.9,52078,85.3,South
AK,1.3,77640,92.1,West
AZ,64.9,62055,87.5,West
AR,58.4,48952,84.8,South
CA,253.9,80440,83.6,West
CO,56.4,77127,91.7,West
CT,735.8,78444,90.8,Northeast
DE,504.3,70176,90.1,South
FL,397.2,59227,88.5,South
GA,186.6,61980,86.7,South
HI,219.9,83102,91.3,West
ID,22.3,60999,90.2,West
IL,230.8,65886,88.5,Midwest
IN,188.1,57603,88.1,Midwest
IA,56.9,61691,91.7,Midwest
KS,35.9,62087,90.2,Midwest
KY,113.0,50589,85.1,South
LA,107.5,51073,84.0,South
ME,43.6,58924,91.8,Northeast
MD,626.6,86738,90.2,South
MA,894.4,85843,91.2,Northeast
MI,177.6,59584,90.1,Midwest
MN,71.5,74593,93.0,Midwest
MS,63.7,45792,83.4,South
MO,89.5,57409,89.0,Midwest
MT,7.4,57153,93.1,West
NE,25.4,63229,91.4,Midwest
NV,28.5,63276,86.1,West
NH,153.8,77933,92.8,Northeast
NJ,1263.0,85751,90.1,Northeast
NM,17.5,51945,85.7,West
NY,421.0,71117,86.7,Northeast
NC,218.5,56642,87.7,South
ND,11.0,63837,92.9,Midwest
OH,287.5,58642,89.5,Midwest
OK,57.7,54449,87.2,South
OR,44.0,67058,91.1,West
PA,290.5,63463,90.6,Northeast
RI,1061.4,71169,85.7,Northeast
SC,173.3,56227,87.3,South
SD,11.9,59533,92.0,Midwest
TN,167.2,56071,86.6,South
TX,112.8,64034,84.7,South
UT,39.9,75780,92.3,West
VT,68.1,63001,92.6,Northeast
VA,218.4,76456,88.9,South
WA,117.4,78687,91.8,West
WV,74.6,48850,86.0,South
WI,108.0,64168,91.7,Midwest
WY,6.0,65003,93.3,West
DC,11011.6,85743,92.4,South 